"ComputerName","DateTime","CounterCategory","CounterName","Instance","Value"
"e2016site1","2018-05-6 03:42:47","processor(_total)","% processor time","_total","1.93"
"e2016site2","2018-05-6 03:42:47","processor(_total)","% processor time","_total","22.7"
"e2016site1","2018-05-6 03:42:47","msexchange rpcclientaccess","rpc averaged latency",,"16"
"e2016site2","2018-05-6 03:42:47","msexchange rpcclientaccess","rpc averaged latency",,"24"
"e2016site1","2018-05-6 03:42:47","msexchangeis store(arbmonitdiscadmin)","rpc average latency","arbmonitdiscadmin","0"
"e2016site1","2018-05-6 03:42:47","msexchangeis store(mailbox database 2088168334)","rpc average latency","mailbox database 2088168334","0"
"e2016site1","2018-05-6 03:42:47","msexchangeis store(_total)","rpc average latency","_total","0"
"e2016site2","2018-05-6 03:42:47","msexchangeis store(dag1-db4)","rpc average latency","dag1-db4","0"
"e2016site2","2018-05-6 03:42:47","msexchangeis store(dag1-db2)","rpc average latency","dag1-db2","0"
"e2016site2","2018-05-6 03:42:47","msexchangeis store(systemmailboxes)","rpc average latency","systemmailboxes","0"
"e2016site2","2018-05-6 03:42:47","msexchangeis store(dag1-db1)","rpc average latency","dag1-db1","0"
"e2016site2","2018-05-6 03:42:47","msexchangeis store(_total)","rpc average latency","_total","0"
"e2016site1","2018-05-6 03:42:47","msexchange rpcclientaccess","rpc requests",,"0"
"e2016site2","2018-05-6 03:42:47","msexchange rpcclientaccess","rpc requests",,"0"
"e2016site1","2018-05-6 03:42:47","memory","available mbytes",,"1355"
"e2016site2","2018-05-6 03:42:47","memory","available mbytes",,"1113"
"e2016site1","2018-05-6 03:42:47","physicaldisk(1)","avg. disk sec/transfer","1","0"
"e2016site1","2018-05-6 03:42:47","physicaldisk(2)","avg. disk sec/transfer","2","0"
"e2016site1","2018-05-6 03:42:47","physicaldisk(3)","avg. disk sec/transfer","3","0"
"e2016site1","2018-05-6 03:42:47","physicaldisk(4)","avg. disk sec/transfer","4","0"
"e2016site1","2018-05-6 03:42:47","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"e2016site1","2018-05-6 03:42:47","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"e2016site2","2018-05-6 03:42:47","physicaldisk(1)","avg. disk sec/transfer","1","0"
"e2016site2","2018-05-6 03:42:47","physicaldisk(2)","avg. disk sec/transfer","2","0"
"e2016site2","2018-05-6 03:42:47","physicaldisk(3)","avg. disk sec/transfer","3","0"
"e2016site2","2018-05-6 03:42:47","physicaldisk(4)","avg. disk sec/transfer","4","0"
"e2016site2","2018-05-6 03:42:47","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"e2016site2","2018-05-6 03:42:47","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"e2016site1","2018-05-6 03:42:47","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","44502.44"
"e2016site1","2018-05-6 03:42:47","network interface(isatap.msftonlinerepro.com)","bytes total/sec","isatap.msftonlinerepro.com","0"
"e2016site1","2018-05-6 03:42:47","network interface(isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be})","bytes total/sec","isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be}","0"
"e2016site2","2018-05-6 03:42:47","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","46669.09"
"e2016site2","2018-05-6 03:42:47","network interface(isatap.msftonlinerepro.com)","bytes total/sec","isatap.msftonlinerepro.com","0"
"e2016site2","2018-05-6 03:42:47","network interface(isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6})","bytes total/sec","isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6}","0"
"e2016site1","2018-05-6 03:42:48","processor(_total)","% processor time","_total","4.93"
"e2016site2","2018-05-6 03:42:48","processor(_total)","% processor time","_total","2.6"
"e2016site1","2018-05-6 03:42:48","msexchange rpcclientaccess","rpc averaged latency",,"16"
"e2016site2","2018-05-6 03:42:48","msexchange rpcclientaccess","rpc averaged latency",,"24"
"e2016site1","2018-05-6 03:42:48","msexchangeis store(arbmonitdiscadmin)","rpc average latency","arbmonitdiscadmin","0"
"e2016site1","2018-05-6 03:42:48","msexchangeis store(mailbox database 2088168334)","rpc average latency","mailbox database 2088168334","0"
"e2016site1","2018-05-6 03:42:48","msexchangeis store(_total)","rpc average latency","_total","0"
"e2016site2","2018-05-6 03:42:48","msexchangeis store(dag1-db4)","rpc average latency","dag1-db4","0"
"e2016site2","2018-05-6 03:42:48","msexchangeis store(dag1-db2)","rpc average latency","dag1-db2","0"
"e2016site2","2018-05-6 03:42:48","msexchangeis store(systemmailboxes)","rpc average latency","systemmailboxes","0"
"e2016site2","2018-05-6 03:42:48","msexchangeis store(dag1-db1)","rpc average latency","dag1-db1","0"
"e2016site2","2018-05-6 03:42:48","msexchangeis store(_total)","rpc average latency","_total","0"
"e2016site1","2018-05-6 03:42:48","msexchange rpcclientaccess","rpc requests",,"0"
"e2016site2","2018-05-6 03:42:48","msexchange rpcclientaccess","rpc requests",,"0"
"e2016site1","2018-05-6 03:42:48","memory","available mbytes",,"1346"
"e2016site2","2018-05-6 03:42:48","memory","available mbytes",,"1112"
"e2016site1","2018-05-6 03:42:48","physicaldisk(1)","avg. disk sec/transfer","1","0"
"e2016site1","2018-05-6 03:42:48","physicaldisk(2)","avg. disk sec/transfer","2","0"
"e2016site1","2018-05-6 03:42:48","physicaldisk(3)","avg. disk sec/transfer","3","0"
"e2016site1","2018-05-6 03:42:48","physicaldisk(4)","avg. disk sec/transfer","4","0"
"e2016site1","2018-05-6 03:42:48","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"e2016site1","2018-05-6 03:42:48","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"e2016site2","2018-05-6 03:42:48","physicaldisk(1)","avg. disk sec/transfer","1","0"
"e2016site2","2018-05-6 03:42:48","physicaldisk(2)","avg. disk sec/transfer","2","0"
"e2016site2","2018-05-6 03:42:48","physicaldisk(3)","avg. disk sec/transfer","3","0"
"e2016site2","2018-05-6 03:42:48","physicaldisk(4)","avg. disk sec/transfer","4","0"
"e2016site2","2018-05-6 03:42:48","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"e2016site2","2018-05-6 03:42:48","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"e2016site1","2018-05-6 03:42:48","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","51058.38"
"e2016site1","2018-05-6 03:42:48","network interface(isatap.msftonlinerepro.com)","bytes total/sec","isatap.msftonlinerepro.com","0"
"e2016site1","2018-05-6 03:42:48","network interface(isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be})","bytes total/sec","isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be}","0"
"e2016site2","2018-05-6 03:42:48","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","54518.62"
