"computerName","WholeCounter","CounterCategory","CounterName","Item","Value","datetime"
"desktop-80til08","processor(_total)-% processor time","processor(_total)","% processor time","_total","6.65","2018-05-3 10:49:12"
"desktop-80til08","memory-available mbytes","memory","available mbytes",,"24942","2018-05-3 10:49:12"
"desktop-80til08","network interface(intel[r] 82579lm gigabit network connection)-bytes total/sec","network interface(intel[r] 82579lm gigabit network connection)","bytes total/sec","intel[r] 82579lm gigabit network connection","0","2018-05-3 10:49:12"
"desktop-80til08","network interface(intel[r] centrino[r] ultimate-n 6300 agn)-bytes total/sec","network interface(intel[r] centrino[r] ultimate-n 6300 agn)","bytes total/sec","intel[r] centrino[r] ultimate-n 6300 agn","1783.42","2018-05-3 10:49:12"
"desktop-80til08","network interface(teredo tunneling pseudo-interface)-bytes total/sec","network interface(teredo tunneling pseudo-interface)","bytes total/sec","teredo tunneling pseudo-interface","0","2018-05-3 10:49:12"
"desktop-80til08","processor(_total)-% processor time","processor(_total)","% processor time","_total","9.63","2018-05-3 10:49:13"
"desktop-80til08","memory-available mbytes","memory","available mbytes",,"24935","2018-05-3 10:49:13"
"desktop-80til08","network interface(intel[r] 82579lm gigabit network connection)-bytes total/sec","network interface(intel[r] 82579lm gigabit network connection)","bytes total/sec","intel[r] 82579lm gigabit network connection","0","2018-05-3 10:49:13"
"desktop-80til08","network interface(intel[r] centrino[r] ultimate-n 6300 agn)-bytes total/sec","network interface(intel[r] centrino[r] ultimate-n 6300 agn)","bytes total/sec","intel[r] centrino[r] ultimate-n 6300 agn","1641.81","2018-05-3 10:49:13"
"desktop-80til08","network interface(teredo tunneling pseudo-interface)-bytes total/sec","network interface(teredo tunneling pseudo-interface)","bytes total/sec","teredo tunneling pseudo-interface","0","2018-05-3 10:49:13"
"desktop-80til08","processor(_total)-% processor time","processor(_total)","% processor time","_total","4.54","2018-05-3 10:49:14"
"desktop-80til08","memory-available mbytes","memory","available mbytes",,"24935","2018-05-3 10:49:14"
"desktop-80til08","network interface(intel[r] 82579lm gigabit network connection)-bytes total/sec","network interface(intel[r] 82579lm gigabit network connection)","bytes total/sec","intel[r] 82579lm gigabit network connection","0","2018-05-3 10:49:14"
"desktop-80til08","network interface(intel[r] centrino[r] ultimate-n 6300 agn)-bytes total/sec","network interface(intel[r] centrino[r] ultimate-n 6300 agn)","bytes total/sec","intel[r] centrino[r] ultimate-n 6300 agn","1683.73","2018-05-3 10:49:14"
"desktop-80til08","network interface(teredo tunneling pseudo-interface)-bytes total/sec","network interface(teredo tunneling pseudo-interface)","bytes total/sec","teredo tunneling pseudo-interface","0","2018-05-3 10:49:14"
"desktop-80til08","processor(_total)-% processor time","processor(_total)","% processor time","_total","5.57","2018-05-3 10:49:15"
"desktop-80til08","memory-available mbytes","memory","available mbytes",,"24943","2018-05-3 10:49:15"
"desktop-80til08","network interface(intel[r] 82579lm gigabit network connection)-bytes total/sec","network interface(intel[r] 82579lm gigabit network connection)","bytes total/sec","intel[r] 82579lm gigabit network connection","0","2018-05-3 10:49:15"
"desktop-80til08","network interface(intel[r] centrino[r] ultimate-n 6300 agn)-bytes total/sec","network interface(intel[r] centrino[r] ultimate-n 6300 agn)","bytes total/sec","intel[r] centrino[r] ultimate-n 6300 agn","1695.63","2018-05-3 10:49:15"
"desktop-80til08","network interface(teredo tunneling pseudo-interface)-bytes total/sec","network interface(teredo tunneling pseudo-interface)","bytes total/sec","teredo tunneling pseudo-interface","0","2018-05-3 10:49:15"
"desktop-80til08","processor(_total)-% processor time","processor(_total)","% processor time","_total","4.9","2018-05-3 10:49:16"
"desktop-80til08","memory-available mbytes","memory","available mbytes",,"24945","2018-05-3 10:49:16"
"desktop-80til08","network interface(intel[r] 82579lm gigabit network connection)-bytes total/sec","network interface(intel[r] 82579lm gigabit network connection)","bytes total/sec","intel[r] 82579lm gigabit network connection","0","2018-05-3 10:49:16"
"desktop-80til08","network interface(intel[r] centrino[r] ultimate-n 6300 agn)-bytes total/sec","network interface(intel[r] centrino[r] ultimate-n 6300 agn)","bytes total/sec","intel[r] centrino[r] ultimate-n 6300 agn","1599.79","2018-05-3 10:49:16"
"desktop-80til08","network interface(teredo tunneling pseudo-interface)-bytes total/sec","network interface(teredo tunneling pseudo-interface)","bytes total/sec","teredo tunneling pseudo-interface","0","2018-05-3 10:49:16"
