"computerName","datetime","CounterCategory","CounterName","Instance","Value"
"sfbkamehameha","2018-05-6 11:03:04","processor(_total)","% processor time","_total","1.47"
"sfbkamehameha","2018-05-6 11:03:04","memory","available mbytes",,"2632"
"sfbkamehameha","2018-05-6 11:03:04","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.01"
"sfbkamehameha","2018-05-6 11:03:04","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:04","physicaldisk(_total)","avg. disk sec/transfer","_total","0.01"
"sfbkamehameha","2018-05-6 11:03:04","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","301.39"
"sfbkamehameha","2018-05-6 11:03:04","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:05","processor(_total)","% processor time","_total","3.59"
"sfbkamehameha","2018-05-6 11:03:05","memory","available mbytes",,"2632"
"sfbkamehameha","2018-05-6 11:03:05","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-6 11:03:05","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:05","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-6 11:03:05","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","306.26"
"sfbkamehameha","2018-05-6 11:03:05","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:06","processor(_total)","% processor time","_total","2.34"
"sfbkamehameha","2018-05-6 11:03:06","memory","available mbytes",,"2633"
"sfbkamehameha","2018-05-6 11:03:06","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-6 11:03:06","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:06","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-6 11:03:06","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","304.73"
"sfbkamehameha","2018-05-6 11:03:06","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 11:03:07","processor(_total)","% processor time","_total","1.54"
"sfbkamehameha","2018-05-6 11:03:07","memory","available mbytes",,"2632"
"sfbkamehameha","2018-05-6 11:03:07","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-6 11:03:07","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 11:03:07","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
