"ComputerName","DateTime","CounterCategory","CounterName","Instance","Value"
"sfbkamehameha","2018-05-12 06:05:56","processor(_total)","% processor time","_total","30.22"
"sfbkamehameha","2018-05-12 06:05:56","memory","available mbytes",,"4246"
"sfbkamehameha","2018-05-12 06:05:56","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-12 06:05:56","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-12 06:05:56","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","304.53"
"sfbkamehameha","2018-05-12 06:05:56","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-12 06:05:57","processor(_total)","% processor time","_total","15.41"
"sfbkamehameha","2018-05-12 06:05:57","memory","available mbytes",,"4243"
"sfbkamehameha","2018-05-12 06:05:57","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-12 06:05:57","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-12 06:05:57","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","794.57"
"sfbkamehameha","2018-05-12 06:05:57","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-12 06:05:58","processor(_total)","% processor time","_total","5.57"
"sfbkamehameha","2018-05-12 06:05:58","memory","available mbytes",,"4245"
"sfbkamehameha","2018-05-12 06:05:58","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-12 06:05:58","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-12 06:05:58","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","304.67"
"sfbkamehameha","2018-05-12 06:05:58","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-12 06:05:59","processor(_total)","% processor time","_total","10.64"
"sfbkamehameha","2018-05-12 06:05:59","memory","available mbytes",,"4245"
"sfbkamehameha","2018-05-12 06:05:59","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-12 06:05:59","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-12 06:05:59","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","304.69"
"sfbkamehameha","2018-05-12 06:05:59","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-12 06:06:00","processor(_total)","% processor time","_total","8.69"
"sfbkamehameha","2018-05-12 06:06:00","memory","available mbytes",,"4245"
"sfbkamehameha","2018-05-12 06:06:00","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-12 06:06:00","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-12 06:06:00","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","304.82"
"sfbkamehameha","2018-05-12 06:06:00","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
