"ComputerName","DateTime","WholeCounter","CounterCategory","CounterName","Instance","Value"
"sfbkamehameha","2018-05-13 02:26:09","\\sfbkamehameha\processor(_total)\% processor time","processor(_total)","% processor time","_total","11.2"
"sfbkamehameha","2018-05-13 02:26:09","\\sfbkamehameha\memory\available mbytes","memory","available mbytes",,"3029"
"sfbkamehameha","2018-05-13 02:26:09","\\sfbkamehameha\physicaldisk(0 c:)\avg. disk sec/transfer","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-13 02:26:09","\\sfbkamehameha\physicaldisk(_total)\avg. disk sec/transfer","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-13 02:26:09","\\sfbkamehameha\network interface(marvell avastar wireless-ac network controller)\bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","716.14"
"sfbkamehameha","2018-05-13 02:26:09","\\sfbkamehameha\network interface(local area connection* 11)\bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-13 02:26:10","\\sfbkamehameha\processor(_total)\% processor time","processor(_total)","% processor time","_total","17.77"
"sfbkamehameha","2018-05-13 02:26:10","\\sfbkamehameha\memory\available mbytes","memory","available mbytes",,"3029"
"sfbkamehameha","2018-05-13 02:26:10","\\sfbkamehameha\physicaldisk(0 c:)\avg. disk sec/transfer","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-13 02:26:10","\\sfbkamehameha\physicaldisk(_total)\avg. disk sec/transfer","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-13 02:26:10","\\sfbkamehameha\network interface(marvell avastar wireless-ac network controller)\bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","2297.03"
"sfbkamehameha","2018-05-13 02:26:10","\\sfbkamehameha\network interface(local area connection* 11)\bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-13 02:26:11","\\sfbkamehameha\processor(_total)\% processor time","processor(_total)","% processor time","_total","40.35"
"sfbkamehameha","2018-05-13 02:26:11","\\sfbkamehameha\memory\available mbytes","memory","available mbytes",,"3051"
"sfbkamehameha","2018-05-13 02:26:11","\\sfbkamehameha\physicaldisk(0 c:)\avg. disk sec/transfer","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-13 02:26:11","\\sfbkamehameha\physicaldisk(_total)\avg. disk sec/transfer","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-13 02:26:11","\\sfbkamehameha\network interface(marvell avastar wireless-ac network controller)\bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","770.42"
"sfbkamehameha","2018-05-13 02:26:11","\\sfbkamehameha\network interface(local area connection* 11)\bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-13 02:26:12","\\sfbkamehameha\processor(_total)\% processor time","processor(_total)","% processor time","_total","7.67"
"sfbkamehameha","2018-05-13 02:26:12","\\sfbkamehameha\memory\available mbytes","memory","available mbytes",,"3052"
"sfbkamehameha","2018-05-13 02:26:12","\\sfbkamehameha\physicaldisk(0 c:)\avg. disk sec/transfer","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-13 02:26:12","\\sfbkamehameha\physicaldisk(_total)\avg. disk sec/transfer","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-13 02:26:12","\\sfbkamehameha\network interface(marvell avastar wireless-ac network controller)\bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","858.93"
"sfbkamehameha","2018-05-13 02:26:12","\\sfbkamehameha\network interface(local area connection* 11)\bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-13 02:26:13","\\sfbkamehameha\processor(_total)\% processor time","processor(_total)","% processor time","_total","8.3"
"sfbkamehameha","2018-05-13 02:26:13","\\sfbkamehameha\memory\available mbytes","memory","available mbytes",,"3071"
"sfbkamehameha","2018-05-13 02:26:13","\\sfbkamehameha\physicaldisk(0 c:)\avg. disk sec/transfer","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.01"
"sfbkamehameha","2018-05-13 02:26:13","\\sfbkamehameha\physicaldisk(_total)\avg. disk sec/transfer","physicaldisk(_total)","avg. disk sec/transfer","_total","0.01"
"sfbkamehameha","2018-05-13 02:26:13","\\sfbkamehameha\network interface(marvell avastar wireless-ac network controller)\bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","1976.24"
"sfbkamehameha","2018-05-13 02:26:13","\\sfbkamehameha\network interface(local area connection* 11)\bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
