"MachineName","LogName","TimeCreated","LevelDisplayName","ProviderName","Id","Message"
"akasammy-PC","Application","4/14/2018 4:22:57 PM","Information","Outlook","63","La demande de service web Exchange GetAppManifestssucc?de ?.</0w>"
"akasammy-PC","Application","4/14/2018 4:22:56 PM","Information","Outlook","63","Outlook a d?tect? une notification de modification pour vos applications et va tenter de les mettre ? jour."
"akasammy-PC","Application","4/14/2018 4:22:55 PM","Information","Outlook","63","La demande de service web Exchange GetAppManifestssucc?de ?.</0w>"
"akasammy-PC","Application","4/14/2018 4:22:51 PM","Information","Outlook","45","Outlook a charg? le(s) compl?ment(s) suivant(s)?:


Nom?: Microsoft Exchange Add-in
Description?: Exchange support for Unified Messaging, e-mail permission rules, and calendar availability.
ProgID?: UmOutlookAddin.FormRegionAddin
GUID?: {F959DBBB-3867-41F2-8E5F-3B8BEFAA81B3}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\ADDINS\UmOutlookAddin.dll
Temps de d?marrage (millisecondes)?: 16

Nom?: Skype Meeting Add-in for Microsoft Office 2016
Description?: Skype Meeting Add-in for Microsoft Office 2016
ProgID?: UCAddin.LyncAddin.1
GUID?: {A6A2383F-AD50-4D52-8110-3508275E77F7}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\UCAddin.dll
Temps de d?marrage (millisecondes)?: 31

Nom?: Outlook Social Connector 2016
Description?: Connects to social networking sites and provides people, activity, and status information.
ProgID?: OscAddin.Connect
GUID?: {2163EB1F-3FD9-4212-A41F-81D1F933597F}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\SOCIALCONNECTOR.DLL
Temps de d?marrage (millisecondes)?: 63

Nom?: OneNote Notes about Outlook Items
Description?: Adds Send to OneNote and Notes about this Item buttons to the command bar
ProgID?: OneNote.OutlookAddin
GUID?: {93E5752E-B889-47C5-8545-654EE2533C64}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\ONBttnOL.dll
Temps de d?marrage (millisecondes)?: 0

Nom?: Microsoft Azure Information Protection
Description?: Microsoft Azure Information Protection
ProgID?: MSIP.OutlookAddin
GUID?: {BCEFD8A6-FA61-4038-9D6C-B2342F8AFE33}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Azure Information Protection\adxloader.MSIP.Office.OutlookAddin.dll
Temps de d?marrage (millisecondes)?: 46

Nom?: Microsoft SharePoint Server Colleague Import Add-in
Description?: The Add-in allows Microsoft SharePoint Server to import colleague suggestions based on your Outlook content
ProgID?: ColleagueImport.ColleagueImportAddin
GUID?: {EFEF7FDB-0CED-4FB6-B3BB-3C50D39F4120}
Comportement au chargement?: 3
HKLM?: 0
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\ADDINS\ColleagueImport.dll
Temps de d?marrage (millisecondes)?: 0
"
"akasammy-PC","Application","4/13/2018 8:21:03 PM","Information","Outlook","63","La demande de service web Exchange GetAppManifestssucc?de ?.</0w>"
"akasammy-PC","Application","4/13/2018 8:21:02 PM","Information","Outlook","63","Outlook a d?tect? une notification de modification pour vos applications et va tenter de les mettre ? jour."
"akasammy-PC","Application","4/13/2018 7:58:07 PM","Information","Outlook","63","La demande de service web Exchange GetAppManifestssucc?de ?.</0w>"
"akasammy-PC","Application","4/13/2018 7:58:05 PM","Information","Outlook","63","Outlook a d?tect? une notification de modification pour vos applications et va tenter de les mettre ? jour."
"akasammy-PC","Application","4/13/2018 7:57:50 PM","Information","Outlook","63","La demande de service web Exchange GetAppManifestssucc?de ?.</0w>"
"akasammy-PC","Application","4/13/2018 7:19:50 PM","Information","Outlook","32","Le magasin C:\Users\akasammy\AppData\Local\Microsoft\Outlook\samdrey@microsoft.com.ost a d?tect? un point de contr?le."
"akasammy-PC","Application","4/13/2018 6:53:52 PM","Information","Outlook","32","Le magasin C:\Users\akasammy\AppData\Local\Microsoft\Outlook\samdrey@microsoft.com.nst a d?tect? un point de contr?le."
"akasammy-PC","Application","4/13/2018 6:53:08 PM","Information","Outlook","32","Le magasin C:\Users\akasammy\AppData\Local\Microsoft\Outlook\Listes SharePoint.pst a d?tect? un point de contr?le."
"akasammy-PC","Application","4/13/2018 5:17:54 PM","Information","Outlook","38","Rapprochement termin? pour le magasin suivant?: C:\Users\akasammy\AppData\Local\Microsoft\Outlook\Listes SharePoint.pst. Statistiques?: Added: 0, Deleted: 0, Modified: 0, Compared: 19, Queries: 0, Results: 0, Version: 16.0.9126.2109."
"akasammy-PC","Application","4/13/2018 5:17:53 PM","Information","Outlook","30","Lancement du rapprochement du magasin C:\Users\akasammy\AppData\Local\Microsoft\Outlook\Listes SharePoint.pst pour la raison suivante?: Automatic Reconciliation."
"akasammy-PC","Application","4/13/2018 3:57:28 PM","Information","Outlook","63","La demande de service web Exchange GetAppManifestssucc?de ?.</0w>"
"akasammy-PC","Application","4/13/2018 11:57:06 AM","Information","Outlook","63","La demande de service web Exchange GetAppManifestssucc?de ?.</0w>"
"akasammy-PC","Application","4/13/2018 7:57:00 AM","Information","Outlook","63","La demande de service web Exchange GetAppManifestssucc?de ?.</0w>"
"akasammy-PC","Application","4/13/2018 7:56:59 AM","Information","Outlook","63","Outlook a d?tect? une notification de modification pour vos applications et va tenter de les mettre ? jour."
"akasammy-PC","Application","4/13/2018 7:56:55 AM","Information","Outlook","45","Outlook a charg? le(s) compl?ment(s) suivant(s)?:


Nom?: Microsoft Exchange Add-in
Description?: Exchange support for Unified Messaging, e-mail permission rules, and calendar availability.
ProgID?: UmOutlookAddin.FormRegionAddin
GUID?: {F959DBBB-3867-41F2-8E5F-3B8BEFAA81B3}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\ADDINS\UmOutlookAddin.dll
Temps de d?marrage (millisecondes)?: 31

Nom?: Skype Meeting Add-in for Microsoft Office 2016
Description?: Skype Meeting Add-in for Microsoft Office 2016
ProgID?: UCAddin.LyncAddin.1
GUID?: {A6A2383F-AD50-4D52-8110-3508275E77F7}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\UCAddin.dll
Temps de d?marrage (millisecondes)?: 62

Nom?: Outlook Social Connector 2016
Description?: Connects to social networking sites and provides people, activity, and status information.
ProgID?: OscAddin.Connect
GUID?: {2163EB1F-3FD9-4212-A41F-81D1F933597F}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\SOCIALCONNECTOR.DLL
Temps de d?marrage (millisecondes)?: 78

Nom?: OneNote Notes about Outlook Items
Description?: Adds Send to OneNote and Notes about this Item buttons to the command bar
ProgID?: OneNote.OutlookAddin
GUID?: {93E5752E-B889-47C5-8545-654EE2533C64}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\ONBttnOL.dll
Temps de d?marrage (millisecondes)?: 32

Nom?: Microsoft Azure Information Protection
Description?: Microsoft Azure Information Protection
ProgID?: MSIP.OutlookAddin
GUID?: {BCEFD8A6-FA61-4038-9D6C-B2342F8AFE33}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Azure Information Protection\adxloader.MSIP.Office.OutlookAddin.dll
Temps de d?marrage (millisecondes)?: 62

Nom?: Microsoft SharePoint Server Colleague Import Add-in
Description?: The Add-in allows Microsoft SharePoint Server to import colleague suggestions based on your Outlook content
ProgID?: ColleagueImport.ColleagueImportAddin
GUID?: {EFEF7FDB-0CED-4FB6-B3BB-3C50D39F4120}
Comportement au chargement?: 3
HKLM?: 0
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\ADDINS\ColleagueImport.dll
Temps de d?marrage (millisecondes)?: 16
"
"akasammy-PC","Application","4/13/2018 7:56:53 AM","Information","Outlook","63","La demande de service web Exchange GetAppManifestssucc?de ?.</0w>"
"akasammy-PC","Application","4/12/2018 4:45:20 PM","Error","Outlook","62","D?sol?... Nous n?avons pas pu instancier le module d?extraction de texte des policy nudges - code d?erreur 0x80040154."
"akasammy-PC","Application","4/12/2018 4:31:56 PM","Information","Outlook","63","La demande de service web Exchange GetAppManifestssucc?de ?.</0w>"
"akasammy-PC","Application","4/12/2018 4:31:55 PM","Information","Outlook","63","Outlook a d?tect? une notification de modification pour vos applications et va tenter de les mettre ? jour."
"akasammy-PC","Application","4/12/2018 4:31:46 PM","Information","Outlook","45","Outlook a charg? le(s) compl?ment(s) suivant(s)?:


Nom?: Microsoft Exchange Add-in
Description?: Exchange support for Unified Messaging, e-mail permission rules, and calendar availability.
ProgID?: UmOutlookAddin.FormRegionAddin
GUID?: {F959DBBB-3867-41F2-8E5F-3B8BEFAA81B3}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\ADDINS\UmOutlookAddin.dll
Temps de d?marrage (millisecondes)?: 16

Nom?: Skype Meeting Add-in for Microsoft Office 2016
Description?: Skype Meeting Add-in for Microsoft Office 2016
ProgID?: UCAddin.LyncAddin.1
GUID?: {A6A2383F-AD50-4D52-8110-3508275E77F7}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\UCAddin.dll
Temps de d?marrage (millisecondes)?: 31

Nom?: Outlook Social Connector 2016
Description?: Connects to social networking sites and provides people, activity, and status information.
ProgID?: OscAddin.Connect
GUID?: {2163EB1F-3FD9-4212-A41F-81D1F933597F}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\SOCIALCONNECTOR.DLL
Temps de d?marrage (millisecondes)?: 47

Nom?: OneNote Notes about Outlook Items
Description?: Adds Send to OneNote and Notes about this Item buttons to the command bar
ProgID?: OneNote.OutlookAddin
GUID?: {93E5752E-B889-47C5-8545-654EE2533C64}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\ONBttnOL.dll
Temps de d?marrage (millisecondes)?: 0

Nom?: Microsoft Azure Information Protection
Description?: Microsoft Azure Information Protection
ProgID?: MSIP.OutlookAddin
GUID?: {BCEFD8A6-FA61-4038-9D6C-B2342F8AFE33}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Azure Information Protection\adxloader.MSIP.Office.OutlookAddin.dll
Temps de d?marrage (millisecondes)?: 62

Nom?: Microsoft SharePoint Server Colleague Import Add-in
Description?: The Add-in allows Microsoft SharePoint Server to import colleague suggestions based on your Outlook content
ProgID?: ColleagueImport.ColleagueImportAddin
GUID?: {EFEF7FDB-0CED-4FB6-B3BB-3C50D39F4120}
Comportement au chargement?: 3
HKLM?: 0
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\ADDINS\ColleagueImport.dll
Temps de d?marrage (millisecondes)?: 0
"
"akasammy-PC","Application","4/12/2018 4:31:45 PM","Information","Outlook","63","La demande de service web Exchange GetAppManifestssucc?de ?.</0w>"
"akasammy-PC","Application","4/11/2018 7:34:09 PM","Information","Outlook","38","Rapprochement termin? pour le magasin suivant?: C:\Users\akasammy\AppData\Local\Microsoft\Outlook\samdrey@microsoft.com.nst. Statistiques?: Added: 0, Deleted: 0, Modified: 0, Compared: 8399, Queries: 0, Results: 0, Version: 16.0.9126.2109."
"akasammy-PC","Application","4/11/2018 7:34:01 PM","Information","Outlook","30","Lancement du rapprochement du magasin C:\Users\akasammy\AppData\Local\Microsoft\Outlook\samdrey@microsoft.com.nst pour la raison suivante?: Automatic Reconciliation."
"akasammy-PC","Application","4/11/2018 7:33:45 PM","Information","Outlook","38","Rapprochement termin? pour le magasin suivant?: C:\Users\akasammy\AppData\Local\Microsoft\Outlook\samdrey@microsoft.com.ost. Statistiques?: Added: 0, Deleted: 0, Modified: 16, Compared: 26261, Queries: 0, Results: 0, Version: 16.0.9126.2109."
"akasammy-PC","Application","4/11/2018 7:32:53 PM","Information","Outlook","30","Lancement du rapprochement du magasin C:\Users\akasammy\AppData\Local\Microsoft\Outlook\samdrey@microsoft.com.ost pour la raison suivante?: Automatic Reconciliation."
"akasammy-PC","Application","4/11/2018 7:20:50 PM","Information","Outlook","26","La connexion ? Microsoft Exchange a ?t? r?tablie."
"akasammy-PC","Application","4/11/2018 7:20:15 PM","Information","Outlook","26","La connexion ? Microsoft Exchange a ?t? perdue. Outlook r?tablira la connexion d?s que possible."
"akasammy-PC","Application","4/11/2018 7:15:40 PM","Information","Outlook","63","La demande de service web Exchange GetAppManifestssucc?de ?.</0w>"
"akasammy-PC","Application","4/11/2018 7:15:36 PM","Information","Outlook","63","Outlook a d?tect? une notification de modification pour vos applications et va tenter de les mettre ? jour."
"akasammy-PC","Application","4/11/2018 7:13:37 PM","Information","Outlook","32","Le magasin C:\Users\akasammy\AppData\Local\Microsoft\Outlook\samdrey@microsoft.com.nst a d?tect? un point de contr?le."
"akasammy-PC","Application","4/11/2018 7:12:50 PM","Information","Outlook","63","D?sol?... Nous n?avons pas pu proc?der ? la demande de service web Exchange GetAppManifests. Le code d?erreur est 0.</1d> </0w>
Code de r?ponse HTTP :2147954402</0d>

Message d?erreur suppl?mentaire?: 
Une erreur interne inconnue s?est produite. Le code d?erreur est80004005</0x>"
"akasammy-PC","Application","4/11/2018 7:12:10 PM","Information","Outlook","32","Le magasin C:\Users\akasammy\AppData\Local\Microsoft\Outlook\Listes SharePoint.pst a d?tect? un point de contr?le."
"akasammy-PC","Application","4/11/2018 7:12:06 PM","Information","Outlook","32","Le magasin C:\Users\akasammy\AppData\Local\Microsoft\Outlook\samdrey@microsoft.com.ost a d?tect? un point de contr?le."
"akasammy-PC","Application","4/11/2018 7:12:04 PM","Information","Outlook","45","Outlook a charg? le(s) compl?ment(s) suivant(s)?:


Nom?: Microsoft Exchange Add-in
Description?: Exchange support for Unified Messaging, e-mail permission rules, and calendar availability.
ProgID?: UmOutlookAddin.FormRegionAddin
GUID?: {F959DBBB-3867-41F2-8E5F-3B8BEFAA81B3}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\ADDINS\UmOutlookAddin.dll
Temps de d?marrage (millisecondes)?: 0

Nom?: Skype Meeting Add-in for Microsoft Office 2016
Description?: Skype Meeting Add-in for Microsoft Office 2016
ProgID?: UCAddin.LyncAddin.1
GUID?: {A6A2383F-AD50-4D52-8110-3508275E77F7}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\UCAddin.dll
Temps de d?marrage (millisecondes)?: 16

Nom?: Outlook Social Connector 2016
Description?: Connects to social networking sites and provides people, activity, and status information.
ProgID?: OscAddin.Connect
GUID?: {2163EB1F-3FD9-4212-A41F-81D1F933597F}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\SOCIALCONNECTOR.DLL
Temps de d?marrage (millisecondes)?: 0

Nom?: OneNote Notes about Outlook Items
Description?: Adds Send to OneNote and Notes about this Item buttons to the command bar
ProgID?: OneNote.OutlookAddin
GUID?: {93E5752E-B889-47C5-8545-654EE2533C64}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\ONBttnOL.dll
Temps de d?marrage (millisecondes)?: 16

Nom?: Microsoft Azure Information Protection
Description?: Microsoft Azure Information Protection
ProgID?: MSIP.OutlookAddin
GUID?: {BCEFD8A6-FA61-4038-9D6C-B2342F8AFE33}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Azure Information Protection\adxloader.MSIP.Office.OutlookAddin.dll
Temps de d?marrage (millisecondes)?: 16

Nom?: Microsoft SharePoint Server Colleague Import Add-in
Description?: The Add-in allows Microsoft SharePoint Server to import colleague suggestions based on your Outlook content
ProgID?: ColleagueImport.ColleagueImportAddin
GUID?: {EFEF7FDB-0CED-4FB6-B3BB-3C50D39F4120}
Comportement au chargement?: 3
HKLM?: 0
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\ADDINS\ColleagueImport.dll
Temps de d?marrage (millisecondes)?: 0
"
"akasammy-PC","Application","4/11/2018 10:36:01 AM","Information","Outlook","63","La demande de service web Exchange GetAppManifestssucc?de ?.</0w>"
"akasammy-PC","Application","4/11/2018 10:36:01 AM","Information","Outlook","63","Outlook a d?tect? une notification de modification pour vos applications et va tenter de les mettre ? jour."
"akasammy-PC","Application","4/11/2018 10:35:55 AM","Information","Outlook","45","Outlook a charg? le(s) compl?ment(s) suivant(s)?:


Nom?: Microsoft Exchange Add-in
Description?: Exchange support for Unified Messaging, e-mail permission rules, and calendar availability.
ProgID?: UmOutlookAddin.FormRegionAddin
GUID?: {F959DBBB-3867-41F2-8E5F-3B8BEFAA81B3}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\ADDINS\UmOutlookAddin.dll
Temps de d?marrage (millisecondes)?: 31

Nom?: Skype Meeting Add-in for Microsoft Office 2016
Description?: Skype Meeting Add-in for Microsoft Office 2016
ProgID?: UCAddin.LyncAddin.1
GUID?: {A6A2383F-AD50-4D52-8110-3508275E77F7}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\UCAddin.dll
Temps de d?marrage (millisecondes)?: 47

Nom?: Outlook Social Connector 2016
Description?: Connects to social networking sites and provides people, activity, and status information.
ProgID?: OscAddin.Connect
GUID?: {2163EB1F-3FD9-4212-A41F-81D1F933597F}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\SOCIALCONNECTOR.DLL
Temps de d?marrage (millisecondes)?: 78

Nom?: OneNote Notes about Outlook Items
Description?: Adds Send to OneNote and Notes about this Item buttons to the command bar
ProgID?: OneNote.OutlookAddin
GUID?: {93E5752E-B889-47C5-8545-654EE2533C64}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\ONBttnOL.dll
Temps de d?marrage (millisecondes)?: 16

Nom?: Microsoft Azure Information Protection
Description?: Microsoft Azure Information Protection
ProgID?: MSIP.OutlookAddin
GUID?: {BCEFD8A6-FA61-4038-9D6C-B2342F8AFE33}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Azure Information Protection\adxloader.MSIP.Office.OutlookAddin.dll
Temps de d?marrage (millisecondes)?: 47

Nom?: Microsoft SharePoint Server Colleague Import Add-in
Description?: The Add-in allows Microsoft SharePoint Server to import colleague suggestions based on your Outlook content
ProgID?: ColleagueImport.ColleagueImportAddin
GUID?: {EFEF7FDB-0CED-4FB6-B3BB-3C50D39F4120}
Comportement au chargement?: 3
HKLM?: 0
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\ADDINS\ColleagueImport.dll
Temps de d?marrage (millisecondes)?: 15
"
"akasammy-PC","Application","4/11/2018 10:35:54 AM","Information","Outlook","63","La demande de service web Exchange GetAppManifestssucc?de ?.</0w>"
"akasammy-PC","Application","4/10/2018 7:10:20 PM","Information","Outlook","63","La demande de service web Exchange GetAppManifestssucc?de ?.</0w>"
"akasammy-PC","Application","4/10/2018 7:10:20 PM","Information","Outlook","45","Outlook a charg? le(s) compl?ment(s) suivant(s)?:


Nom?: Microsoft Exchange Add-in
Description?: Exchange support for Unified Messaging, e-mail permission rules, and calendar availability.
ProgID?: UmOutlookAddin.FormRegionAddin
GUID?: {F959DBBB-3867-41F2-8E5F-3B8BEFAA81B3}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\ADDINS\UmOutlookAddin.dll
Temps de d?marrage (millisecondes)?: 31

Nom?: Skype Meeting Add-in for Microsoft Office 2016
Description?: Skype Meeting Add-in for Microsoft Office 2016
ProgID?: UCAddin.LyncAddin.1
GUID?: {A6A2383F-AD50-4D52-8110-3508275E77F7}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\UCAddin.dll
Temps de d?marrage (millisecondes)?: 32

Nom?: Outlook Social Connector 2016
Description?: Connects to social networking sites and provides people, activity, and status information.
ProgID?: OscAddin.Connect
GUID?: {2163EB1F-3FD9-4212-A41F-81D1F933597F}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\SOCIALCONNECTOR.DLL
Temps de d?marrage (millisecondes)?: 47

Nom?: OneNote Notes about Outlook Items
Description?: Adds Send to OneNote and Notes about this Item buttons to the command bar
ProgID?: OneNote.OutlookAddin
GUID?: {93E5752E-B889-47C5-8545-654EE2533C64}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\ONBttnOL.dll
Temps de d?marrage (millisecondes)?: 15

Nom?: Microsoft Azure Information Protection
Description?: Microsoft Azure Information Protection
ProgID?: MSIP.OutlookAddin
GUID?: {BCEFD8A6-FA61-4038-9D6C-B2342F8AFE33}
Comportement au chargement?: 3
HKLM?: 1
Emplacement?: C:\Program Files (x86)\Microsoft Azure Information Protection\adxloader.MSIP.Office.OutlookAddin.dll
Temps de d?marrage (millisecondes)?: 32

Nom?: Microsoft SharePoint Server Colleague Import Add-in
Description?: The Add-in allows Microsoft SharePoint Server to import colleague suggestions based on your Outlook content
ProgID?: ColleagueImport.ColleagueImportAddin
GUID?: {EFEF7FDB-0CED-4FB6-B3BB-3C50D39F4120}
Comportement au chargement?: 3
HKLM?: 0
Emplacement?: C:\Program Files (x86)\Microsoft Office\Root\Office16\ADDINS\ColleagueImport.dll
Temps de d?marrage (millisecondes)?: 15
"
