"MachineName","LogName","TimeCreated","LevelDisplayName","ProviderName","Id","Message"
"SFBKAMEHAMEHA","Application","5/23/2018 8:58:03 AM","Error","Outlook","62","Unable to create a Microsoft Classification Engine session for user: Samuel.Drey@microsoft.com - error code 0x80040206."
"SFBKAMEHAMEHA","Application","5/23/2018 8:22:49 AM","Information","Outlook","63","The Exchange web service request GetAppManifests succeeded. "
"SFBKAMEHAMEHA","Application","5/23/2018 8:22:48 AM","Information","Outlook","63","Outlook detected a change notification for your apps and will attempt to update them."
"SFBKAMEHAMEHA","Application","5/23/2018 8:22:42 AM","Information","Outlook","63","The Exchange web service request GetAppManifests succeeded. "
"SFBKAMEHAMEHA","Application","5/23/2018 8:22:31 AM","Information","Outlook","63","Outlook detected a change notification for your apps and will attempt to update them."
"SFBKAMEHAMEHA","Application","5/23/2018 8:22:11 AM","Information","Outlook","38","Reconciliation completed for the following store: C:\Users\SammyKrosoft\AppData\Local\Microsoft\Outlook\Samuel.Drey@microsoft.com.nst. Stats: Added: 3, Deleted: 0, Modified: 0, Compared: 11101, Queries: 0, Results: 0, Version: 16.0.9226.2059."
"SFBKAMEHAMEHA","Application","5/23/2018 8:22:01 AM","Information","Outlook","32","The store C:\Users\SammyKrosoft\AppData\Local\Microsoft\Outlook\Samuel.Drey@microsoft.com.nst has detected a catalog checkpoint."
"SFBKAMEHAMEHA","Application","5/23/2018 8:21:52 AM","Information","Outlook","32","The store C:\Users\SammyKrosoft\AppData\Local\Microsoft\Outlook\SharePoint Lists.pst has detected a catalog checkpoint."
"SFBKAMEHAMEHA","Application","5/23/2018 8:21:50 AM","Information","Outlook","38","Reconciliation completed for the following store: C:\Users\SammyKrosoft\AppData\Local\Microsoft\Outlook\Samuel.Drey@microsoft.com.ost. Stats: Added: 308, Deleted: 725, Modified: 41, Compared: 36832, Queries: 0, Results: 0, Version: 16.0.9226.2059."
"SFBKAMEHAMEHA","Application","5/23/2018 8:20:49 AM","Information","Outlook","32","The store C:\Users\SammyKrosoft\AppData\Local\Microsoft\Outlook\Samuel.Drey@microsoft.com.ost has detected a catalog checkpoint."
